date,balance
1958-12,23042000000.0
1959-01,23058750000.0
1959-02,23075500000.0
1959-03,23092250000.0
1959-04,23109000000.0
1959-05,23125750000.0
1959-06,23142500000.0
1959-07,23159250000.0
1959-08,23176000000.0
1959-09,23192750000.0
1959-10,23209500000.0
1959-11,23226250000.0
1959-12,23243000000.0
1960-01,23136583333.333332
1960-02,23030166666.666668
1960-03,22923750000.0
1960-04,22817333333.333332
1960-05,22710916666.666668
1960-06,22604500000.0
1960-07,22498083333.333332
1960-08,22391666666.666668
1960-09,22285250000.0
1960-10,22178833333.333332
1960-11,22072416666.666668
1960-12,21966000000.0
1961-01,22019916666.666668
1961-02,22073833333.333332
1961-03,22127750000.0
1961-04,22181666666.666668
1961-05,22235583333.333332
1961-06,22289500000.0
1961-07,22343416666.666668
1961-08,22397333333.333332
1961-09,22451250000.0
1961-10,22505166666.666668
1961-11,22559083333.333332
1961-12,22613000000.0
1962-01,22575416666.666668
1962-02,22537833333.333332
1962-03,22500250000.0
1962-04,22462666666.666668
1962-05,22425083333.333332
1962-06,22387500000.0
1962-07,22349916666.666668
1962-08,22312333333.333332
1962-09,22274750000.0
1962-10,22237166666.666668
1962-11,22199583333.333332
1962-12,22162000000.0
1963-01,22040583333.333332
1963-02,21919166666.666668
1963-03,21797750000.0
1963-04,21676333333.333332
1963-05,21554916666.666668
1963-06,21433500000.0
1963-07,21312083333.333332
1963-08,21190666666.666668
1963-09,21069250000.0
1963-10,20947833333.333332
1963-11,20826416666.666668
1963-12,20705000000.0
1964-01,20705833333.333332
1964-02,20706666666.666668
1964-03,20707500000.0
1964-04,20708333333.333332
1964-05,20709166666.666668
1964-06,20710000000.0
1964-07,20710833333.333332
1964-08,20711666666.666668
1964-09,20712500000.0
1964-10,20713333333.333332
1964-11,20714166666.666668
1964-12,20715000000.0
1965-01,20753083333.333332
1965-02,20791166666.666668
1965-03,20829250000.0
1965-04,20867333333.333332
1965-05,20905416666.666668
1965-06,20943500000.0
1965-07,20981583333.333332
1965-08,21019666666.666668
1965-09,21057750000.0
1965-10,21095833333.333332
1965-11,21133916666.666668
1965-12,21172000000.0
1966-01,21061083333.333332
1966-02,20950166666.666668
1966-03,20839250000.0
1966-04,20728333333.333332
1966-05,20617416666.666668
1966-06,20506500000.0
1966-07,20395583333.333332
1966-08,20284666666.666668
1966-09,20173750000.0
1966-10,20062833333.333332
1966-11,19951916666.666668
1966-12,19841000000.0
1967-01,20046583333.333332
1967-02,20252166666.666668
1967-03,20457750000.0
1967-04,20663333333.333332
1967-05,20868916666.666668
1967-06,21074500000.0
1967-07,21280083333.333332
1967-08,21485666666.666668
1967-09,21691250000.0
1967-10,21896833333.333332
1967-11,22102416666.666668
1967-12,22308000000.0
1968-01,22636500000.0
1968-02,22965000000.0
1968-03,23293500000.0
1968-04,23622000000.0
1968-05,23950500000.0
1968-06,24279000000.0
1968-07,24607500000.0
1968-08,24936000000.0
1968-09,25264500000.0
1968-10,25593000000.0
1968-11,25921500000.0
1968-12,26250000000.0
1969-01,26456583333.333332
1969-02,26663166666.666668
1969-03,26869750000.0
1969-04,27076333333.333332
1969-05,27282916666.666668
1969-06,27489500000.0
1969-07,27696083333.333332
1969-08,27902666666.666668
1969-09,28109250000.0
1969-10,28315833333.333332
1969-11,28522416666.666668
1969-12,28729000000.0
1970-01,29183416666.666668
1970-02,29637833333.333332
1970-03,30092250000.0
1970-04,30546666666.666668
1970-05,31001083333.333332
1970-06,31455500000.0
1970-07,31909916666.666668
1970-08,32364333333.333332
1970-09,32818750000.0
1970-10,33273166666.666668
1970-11,33727583333.333336
1970-12,34182000000.0
1971-01,34505833333.333336
1971-02,34829666666.666664
1971-03,35153500000.0
1971-04,35477333333.333336
1971-05,35801166666.666664
1971-06,36125000000.0
1971-07,36448833333.333336
1971-08,36772666666.666664
1971-09,37096500000.0
1971-10,37420333333.333336
1971-11,37744166666.666664
1971-12,38068000000.0
1972-01,38265166666.666664
1972-02,38462333333.333336
1972-03,38659500000.0
1972-04,38856666666.666664
1972-05,39053833333.333336
1972-06,39251000000.0
1972-07,39448166666.666664
1972-08,39645333333.333336
1972-09,39842500000.0
1972-10,40039666666.666664
1972-11,40236833333.333336
1972-12,40434000000.0
1973-01,40629083333.333336
1973-02,40824166666.666664
1973-03,41019250000.0
1973-04,41214333333.333336
