date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100+
1950-12,3727171,3582021,3436871,3291721,3146571,3001422,2856272,2711122,2622762,2534402,2446042,2357682,2269322,2249438,2229554,2209671,2189787,2169903,2206742,2243580,2280419,2317257,2354096,2382815,2411533,2440252,2468970,2497689,2475786,2453882,2431979,2410075,2388172,2366094,2344016,2321938,2299860,2277782,2239503,2201224,2162946,2124667,2086388,2035847,1985306,1934766,1884225,1833684,1799835,1765985,1732136,1698286,1664437,1623155,1581873,1540590,1499308,1458026,1413141,1368257,1323372,1278488,1233603,1183965,1134326,1084688,1035049,985411,925154,864897,804640,744383,684126,634512,584898,535284,485670,436056,394484,352911,311339,269766,228194,201006,173818,146630,119442,92254,79218,66183,53147,40112,27076,22764,18452,14141,9829,5517,5010,4503,3996
1951-01,3734622,3589781,3444939,3300097,3155256,3010414,2865573,2720731,2631332,2541934,2452535,2363137,2273738,2252893,2232047,2211202,2190356,2169511,2205778,2242045,2278313,2314580,2350847,2380071,2409295,2438520,2467744,2496968,2475747,2454526,2433305,2412084,2390863,2368422,2345981,2323540,2301099,2278658,2240894,2203130,2165365,2127601,2089837,2039063,1988290,1937516,1886743,1835969,1802082,1768195,1734309,1700422,1666535,1625194,1583853,1542512,1501171,1459830,1414897,1369965,1325032,1280100,1235167,1185614,1136061,1086508,1036955,987402,927034,866667,806299,745932,685564,635864,586164,536463,486763,437063,395425,353786,312148,270509,228871,201605,174338,147072,119805,92539,79460,66381,53302,40223,27144,22821,18499,14176,9854,5531,5013,4495,3977
1951-02,3742074,3597540,3453007,3308474,3163940,3019407,2874873,2730340,2639903,2549466,2459028,2368591,2278154,2256347,2234540,2212732,2190925,2169118,2204814,2240510,2276206,2311902,2347598,2377328,2407058,2436787,2466517,2496247,2475709,2455170,2434632,2414093,2393555,2370751,2347947,2325143,2302339,2279535,2242285,2205036,2167786,2130537,2093287,2042280,1991274,1940267,1889261,1838254,1804330,1770406,1736481,1702557,1668633,1627233,1585834,1544434,1503035,1461635,1416654,1371674,1326693,1281713,1236732,1187264,1137796,1088328,1038860,989392,928914,868436,807957,747479,687001,637215,587429,537643,487857,438071,396367,354662,312958,271253,229549,202204,174859,147513,120168,92823,79701,66579,53457,40335,27213,22879,18546,14212,9879,5545,5016,4487,3958
1951-03,3749525,3605300,3461075,3316850,3172625,3028399,2884174,2739949,2648473,2556997,2465522,2374046,2282570,2259801,2237032,2214264,2191495,2168726,2203851,2238975,2274100,2309224,2344349,2374584,2404820,2435055,2465291,2495526,2475670,2455814,2435959,2416103,2396247,2373080,2349913,2326746,2303579,2280412,2243677,2206942,2170206,2133471,2096736,2045496,1994257,1943017,1891778,1840538,1806577,1772615,1738654,1704692,1670731,1629273,1587814,1546356,1504897,1463439,1418410,1373382,1328353,1283325,1238296,1188913,1139530,1090148,1040765,991382,930793,870205,809616,749028,688439,638567,588695,538823,488951,439079,397308,355538,313767,271997,230226,202802,175379,147955,120532,93108,79943,66777,53612,40446,27281,22937,18592,14248,9903,5559,5019,4478,3938
1951-04,3756978,3613061,3469144,3325227,3181310,3037392,2893475,2749558,2657044,2564529,2472015,2379500,2286986,2263255,2239525,2215794,2192064,2168333,2202886,2237440,2271993,2306547,2341100,2371841,2402582,2433323,2464064,2494805,2475632,2456458,2437285,2418111,2398938,2375408,2351878,2328349,2304819,2281289,2245068,2208848,2172627,2136407,2100186,2048713,1997241,1945768,1894296,1842823,1808824,1774825,1740827,1706828,1672829,1631312,1589795,1548277,1506760,1465243,1420167,1375090,1330014,1284937,1239861,1190563,1141266,1091968,1042671,993373,932674,871974,811275,750575,689876,639918,589960,540003,490045,440087,398250,356414,314577,272741,230904,203402,175899,148397,120894,93392,80184,66975,53767,40558,27350,22995,18640,14284,9929,5574,5022,4471,3919
1951-05,3764430,3620821,3477212,3333603,3189994,3046385,2902776,2759167,2665614,2572061,2478508,2384955,2291402,2266710,2242017,2217325,2192632,2167940,2201922,2235904,2269887,2303869,2337851,2369098,2400344,2431591,2462837,2494084,2475593,2457102,2438612,2420121,2401630,2377737,2353844,2329952,2306059,2282166,2246460,2210754,2175047,2139341,2103635,2051929,2000224,1948518,1896813,1845107,1811071,1777035,1742999,1708963,1674927,1633351,1591775,1550200,1508624,1467048,1421924,1376799,1331675,1286550,1241426,1192213,1143001,1093788,1044576,995363,934553,873743,812934,752124,691314,641270,591226,541183,491139,441095,399192,357290,315387,273485,231582,204001,176420,148839,121258,93677,80425,67173,53922,40670,27418,23052,18686,14320,9954,5588,5025,4462,3900
1951-06,3771882,3628581,3485280,3341979,3198678,3055378,2912077,2768776,2674184,2579593,2485001,2390410,2295818,2270164,2244510,2218856,2193202,2167548,2200959,2234370,2267780,2301191,2334602,2366354,2398106,2429859,2461611,2493363,2475555,2457746,2439938,2422129,2404321,2380065,2355810,2331554,2307299,2283043,2247851,2212660,2177468,2142277,2107085,2055146,2003208,1951269,1899331,1847392,1813319,1779246,1745172,1711099,1677026,1635391,1593756,1552122,1510487,1468852,1423680,1378507,1333335,1288162,1242990,1193863,1144735,1095608,1046480,997353,936433,875512,814592,753671,692751,642621,592492,542362,492233,442103,400134,358165,316197,274228,232259,204599,176940,149280,121621,93961,80666,67371,54077,40782,27487,23110,18733,14356,9979,5602,5028,4454,3880
1951-07,3779333,3636340,3493348,3350356,3207363,3064371,2921378,2778386,2682756,2587125,2491495,2395864,2300234,2273618,2247002,2220387,2193771,2167155,2199995,2232834,2265674,2298513,2331353,2363611,2395868,2428126,2460383,2492641,2475515,2458390,2441264,2424139,2407013,2382394,2357776,2333157,2308539,2283920,2249243,2214566,2179888,2145211,2110534,2058363,2006191,1954020,1901848,1849677,1815566,1781456,1747345,1713235,1679124,1637431,1595737,1554044,1512350,1470657,1425437,1380216,1334996,1289775,1244555,1195513,1146471,1097428,1048386,999344,938313,877282,816251,755220,694189,643973,593758,543542,493327,443111,401076,359041,317007,274972,232937,205199,177461,149722,121984,94246,80908,67570,54231,40893,27555,23167,18779,14392,10004,5616,5031,4446,3861
1951-08,3786784,3644100,3501416,3358732,3216048,3073363,2930679,2787995,2691326,2594657,2497988,2401319,2304650,2277073,2249495,2221918,2194340,2166763,2199031,2231299,2263568,2295836,2328104,2360867,2393630,2426394,2459157,2491920,2475477,2459034,2442591,2426148,2409705,2384723,2359742,2334760,2309779,2284797,2250634,2216472,2182309,2148147,2113984,2061579,2009175,1956770,1904366,1851961,1817813,1783665,1749518,1715370,1681222,1639470,1597718,1555965,1514213,1472461,1427193,1381924,1336656,1291387,1246119,1197162,1148205,1099248,1050291,1001334,940192,879051,817909,756768,695626,645325,595023,544722,494420,444119,402018,359917,317816,275715,233614,205797,177980,150164,122347,94530,81149,67768,54386,41005,27624,23225,18827,14428,10030,5631,5035,4438,3842
1951-09,3794236,3651860,3509484,3367108,3224732,3082356,2939980,2797604,2699896,2602189,2504481,2406774,2309066,2280527,2251988,2223448,2194909,2166370,2198067,2229764,2261462,2293159,2324856,2358125,2391393,2424662,2457930,2491199,2475438,2459678,2443917,2428157,2412396,2387052,2361707,2336363,2311018,2285674,2252026,2218378,2184729,2151081,2117433,2064796,2012158,1959521,1906883,1854246,1820061,1785876,1751690,1717505,1683320,1641509,1599698,1557887,1516076,1474265,1428949,1383633,1338316,1293000,1247684,1198812,1149940,1101068,1052196,1003324,942072,880820,819568,758316,697064,646676,596289,545901,495514,445126,402959,360792,318626,276459,234292,206397,178501,150606,122710,94815,81390,67966,54541,41117,27692,23283,18873,14464,10054,5645,5038,4430,3823
